	masse_A
t	x	y	θr	θv	θa
0.000000E0	1.908045E-2	-2.769392E-1	-8.605868E1	0.000000E0	0.000000E0
3.333333E-2	1.841493E-2	-2.770029E-1	-8.619662E1	-1.457556E2	0.000000E0
6.666667E-2	1.844784E-2	-2.773698E-1	-8.619487E1	-1.114373E2	-9.932589E0
1.000000E-1	1.821295E-2	-2.775173E-1	-8.624517E1	-1.499987E2	1.781323E2
1.333333E-1	1.784297E-2	-2.777190E-1	-8.632390E1	-1.302499E2	-2.398783E1
1.666667E-1	1.775958E-2	-2.780528E-1	-8.634541E1	-1.045607E2	2.530324E1
2.000000E-1	1.769846E-2	-2.782754E-1	-8.636086E1	-7.037263E1	5.454098E1
2.333333E-1	1.784223E-2	-2.782846E-1	-8.633150E1	-2.753745E0	3.162244E1
2.666667E-1	1.796745E-2	-2.782883E-1	-8.630587E1	2.813069E0	-1.059255E1
3.000000E-1	1.832617E-2	-2.782608E-1	-8.623196E1	-4.315836E0	-2.465344E0
3.333333E-1	1.863808E-2	-2.783389E-1	-8.616909E1	-3.105050E0	2.903738E1
3.666667E-1	1.914752E-2	-2.783054E-1	-8.606423E1	5.062774E0	1.553486E2
4.000000E-1	1.954238E-2	-2.782588E-1	-8.598266E1	6.474601E0	-1.638456E2
4.333333E-1	1.969363E-2	-2.782434E-1	-8.595145E1	-1.362118E1	-1.373916E2
4.666667E-1	1.984714E-2	-2.783327E-1	-8.592130E1	-1.769936E1	-2.121678E1
5.000000E-1	2.009213E-2	-2.783706E-1	-8.587169E1	-9.510296E0	1.551331E2
5.333333E-1	2.024541E-2	-2.783994E-1	-8.584073E1	-1.367158E1	1.737450E2
5.666667E-1	2.027750E-2	-2.784157E-1	-8.583440E1	-2.900687E1	-1.734166E2
6.000000E-1	2.029812E-2	-2.784286E-1	-8.583038E1	-1.589608E2	1.788995E2
6.333333E-1	2.003923E-2	-2.785073E-1	-8.588453E1	-1.741199E2	1.781029E2
6.666667E-1	1.977618E-2	-2.784824E-1	-8.593801E1	-1.776509E2	-1.774603E2
7.000000E-1	1.939482E-2	-2.785338E-1	-8.601682E1	-1.715200E2	-6.073006E0
7.333333E-1	1.914460E-2	-2.785765E-1	-8.606865E1	-1.744616E2	1.461990E1
7.666667E-1	1.898317E-2	-2.785737E-1	-8.610165E1	1.792224E2	2.338860E1
8.000000E-1	1.884645E-2	-2.785725E-1	-8.612963E1	1.518372E2	2.111512E1
8.333333E-1	1.884684E-2	-2.785007E-1	-8.612855E1	9.133095E1	4.641889E1
8.666667E-1	1.884350E-2	-2.784456E-1	-8.612847E1	1.225728E2	-1.773175E2
9.000000E-1	1.876663E-2	-2.783751E-1	-8.614325E1	1.386157E2	3.407468E1
9.333333E-1	1.869648E-2	-2.783161E-1	-8.615681E1	8.477701E1	3.416244E1
9.666667E-1	1.878338E-2	-2.781920E-1	-8.613728E1	7.088137E1	-4.127649E1
1.000000E0	1.879101E-2	-2.780434E-1	-8.613366E1	1.616723E0	-8.559808E1
1.033333E0	1.897689E-2	-2.781865E-1	-8.609753E1	-3.659460E1	-1.319886E2
1.066667E0	1.899614E-2	-2.781957E-1	-8.609371E1	-2.549661E1	1.283886E2
1.100000E0	1.900837E-2	-2.782015E-1	-8.609129E1	6.662138E1	9.104303E1
1.133333E0	1.902519E-2	-2.781285E-1	-8.608682E1	7.700642E1	-1.734873E2
1.166667E0	1.904010E-2	-2.780641E-1	-8.608286E1	1.644119E2	-1.527522E2
1.200000E0	1.887334E-2	-2.780861E-1	-8.611737E1	-1.730154E2	-1.456835E2
1.233333E0	1.872252E-2	-2.781030E-1	-8.614853E1	-1.640898E2	1.536679E2
1.266667E0	1.851307E-2	-2.781888E-1	-8.619266E1	-1.747550E2	-1.563472E2
1.300000E0	1.830473E-2	-2.781413E-1	-8.623474E1	-1.642518E2	-1.199280E2
1.333333E0	1.773378E-2	-2.784086E-1	-8.635536E1	-1.549480E2	-1.882907E0
1.366667E0	1.763927E-2	-2.784524E-1	-8.637530E1	-3.650242E1	9.707100E0
1.400000E0	1.791165E-2	-2.785402E-1	-8.632064E1	-1.738646E1	-2.294219E1
1.433333E0	1.815694E-2	-2.786145E-1	-8.627138E1	-2.835329E1	1.075812E1
1.466667E0	1.838649E-2	-2.787965E-1	-8.622684E1	-1.346324E1	1.262508E2
1.500000E0	1.888551E-2	-2.787889E-1	-8.612463E1	-1.258951E1	1.603399E2
1.533333E0	1.897388E-2	-2.789277E-1	-8.610849E1	-3.426760E1	1.497625E2
1.566667E0	1.907274E-2	-2.789164E-1	-8.608812E1	2.723192E1	4.278884E1
1.600000E0	1.923744E-2	-2.787920E-1	-8.605269E1	6.144216E-1	-1.692304E2
1.633333E0	1.937302E-2	-2.789132E-1	-8.602668E1	-2.292978E1	1.706176E2
1.666667E0	1.929374E-2	-2.788158E-1	-8.604151E1	1.291795E2	1.629431E2
1.700000E0	1.923706E-2	-2.787464E-1	-8.605212E1	1.664333E2	-1.388462E2
1.733333E0	1.903373E-2	-2.787531E-1	-8.609381E1	-1.777453E2	-7.039680E1
1.766667E0	1.886364E-2	-2.787611E-1	-8.612872E1	-1.613405E2	-1.675806E1
1.800000E0	1.883621E-2	-2.788198E-1	-8.613515E1	-1.148424E2	1.519137E1
1.833333E0	1.881040E-2	-2.788761E-1	-8.614120E1	-1.564366E2	1.046183E2
1.866667E0	1.876285E-2	-2.788518E-1	-8.615059E1	1.555486E2	6.429478E1
1.900000E0	1.871555E-2	-2.788330E-1	-8.616001E1	1.206931E2	7.111719E0
1.933333E0	1.873164E-2	-2.787992E-1	-8.615625E1	6.769785E1	-9.363815E1
1.966667E0	1.874082E-2	-2.787713E-1	-8.615399E1	-1.138613E2	-7.768475E1
2.000000E0	1.868747E-2	-2.788991E-1	-8.616666E1	-8.227370E1	2.773857E1
2.033333E0	1.875646E-2	-2.788866E-1	-8.615238E1	1.039189E1	1.472488E2
2.066667E0	1.880049E-2	-2.788783E-1	-8.614326E1	-1.504069E2	-1.608287E2
2.100000E0	1.866124E-2	-2.789407E-1	-8.617259E1	-1.569255E2	-1.737771E2
2.133333E0	1.851933E-2	-2.789981E-1	-8.620239E1	-1.693185E2	-1.790914E2
2.166667E0	1.814499E-2	-2.790381E-1	-8.627947E1	-1.727151E2	1.704837E2
2.200000E0	1.758393E-2	-2.791177E-1	-8.639523E1	1.787589E2	1.733005E2
2.233333E0	1.664195E-2	-2.790055E-1	-8.658650E1	1.771807E2	1.713206E2
