	masse_B
t	x	y	θr	θv	θa
0.000000E0	-8.213681E-2	-5.457010E-1	-9.855969E1	0.000000E0	0.000000E0
3.333333E-2	-8.344167E-2	-5.454613E-1	-9.869737E1	1.735811E2	0.000000E0 
6.666667E-2	-8.399855E-2	-5.454915E-1	-9.875404E1	-1.713301E2	-1.806658E1
1.000000E-1	-8.396054E-2	-5.455405E-1	-9.874937E1	-4.891922E1	-2.252672E1
1.333333E-1	-8.362066E-2	-5.459250E-1	-9.870845E1	-3.895627E1	-2.486568E1
1.666667E-1	-8.294589E-2	-5.463608E-1	-9.863245E1	-3.045390E1	-1.499782E1
2.000000E-1	-8.196309E-2	-5.468996E-1	-9.852340E1	-2.656201E1	-6.352736E0
2.333333E-1	-8.053779E-2	-5.475647E-1	-9.836728E1	-2.039363E1	2.012418E-1
2.666667E-1	-7.878155E-2	-5.480824E-1	-9.817969E1	-1.944919E1	1.156092E2
3.000000E-1	-7.734344E-2	-5.486927E-1	-9.802352E1	-2.065890E1	1.492378E2
3.333333E-1	-7.581143E-2	-5.492023E-1	-9.785939E1	-1.742586E1	1.476910E2
3.666667E-1	-7.431629E-2	-5.496429E-1	-9.770017E1	-1.782783E1	-1.699655E2
4.000000E-1	-7.329774E-2	-5.500107E-1	-9.759085E1	-2.405095E1	1.479873E2
4.333333E-1	-7.205834E-2	-5.506506E-1	-9.745538E1	-1.485245E1	1.508851E2
4.666667E-1	-7.136406E-2	-5.505235E-1	-9.738603E1	-7.444162E0	1.735406E2
5.000000E-1	-7.092875E-2	-5.507982E-1	-9.733785E1	-3.751062E1	-1.583877E2
5.333333E-1	-7.058561E-2	-5.511210E-1	-9.729850E1	-6.148353E1	1.583858E2
5.666667E-1	-7.066008E-2	-5.512927E-1	-9.730387E1	-1.407876E2	1.615978E2
6.000000E-1	-7.083000E-2	-5.513204E-1	-9.732088E1	-1.513357E2	1.593387E2
6.333333E-1	-7.105702E-2	-5.515097E-1	-9.734160E1	-1.555550E2	1.432798E2
6.666667E-1	-7.129059E-2	-5.515298E-1	-9.736520E1	1.720581E2	1.047912E2
7.000000E-1	-7.176773E-2	-5.514105E-1	-9.741553E1	1.686865E2	-1.327094E1
7.333333E-1	-7.194437E-2	-5.513990E-1	-9.743373E1	-1.758365E2	-2.098965E1
7.666667E-1	-7.204938E-2	-5.514310E-1	-9.744404E1	-1.643802E2	1.398918E0
8.000000E-1	-7.213744E-2	-5.514530E-1	-9.745274E1	-1.544126E2	1.443987E1
8.333333E-1	-7.206877E-2	-5.514403E-1	-9.744589E1	1.126105E1	-4.249150E0
8.666667E-1	-7.201558E-2	-5.514287E-1	-9.744061E1	-8.716204E0	-6.341371E1
9.000000E-1	-7.191879E-2	-5.514633E-1	-9.743026E1	-1.951732E1	7.486044E0
9.333333E-1	-7.184022E-2	-5.514909E-1	-9.742187E1	1.239259E0	1.965022E1
9.666667E-1	-7.157254E-2	-5.514558E-1	-9.739499E1	6.851359E0	-9.200483E1
1.000000E0	-7.130331E-2	-5.514264E-1	-9.736786E1	-2.367491E1	-8.834992E1
1.033333E0	-7.123092E-2	-5.516056E-1	-9.735810E1	-2.397395E1	1.866797E1
1.066667E0	-7.086029E-2	-5.516234E-1	-9.732000E1	-3.067710E0	9.239869E1
