t a.txtA a.txtB
0.0 0.0 0.0
0.03333333 0.0 0.0
0.06666667 -9.932589 -8.133990999999998
0.1 178.1323 -200.65902
0.1333333 -23.98783 -0.8778500000000022
0.1666667 25.30324 -40.30106
0.2 54.54098 -60.893716
0.2333333 31.62244 -31.421198200000003
0.2666667 -10.59255 126.20175
0.3 -2.465344 151.70314399999998
0.3333333 29.03738 118.65362
0.3666667 155.3486 -325.3141
0.4 -163.8456 311.8329
0.4333333 -137.3916 288.2767
0.4666667 -21.21678 194.75738
0.5 155.1331 -313.5208
0.5333333 173.745 -15.359200000000016
0.5666667 -173.4166 335.0144
0.6 178.8995 -19.5608
0.6333333 178.1029 -34.82310000000001
0.6666667 -177.4603 282.25149999999996
0.7 -6.073006 -7.197933999999999
0.7333333 14.6199 -35.60955
0.7666667 23.3886 -21.989682000000002
0.8 21.11512 -6.67525
0.8333333 46.41889 -50.66804
0.8666667 -177.3175 113.90378999999999
0.9 34.07468 -26.588636
0.9333333 34.16244 -14.512219999999996
0.9666667 -41.27649 -50.728339999999996
1.0 -85.59808 -2.7518400000000014
1.033333 -131.9886 150.65657
1.066667 128.3886 -35.989909999999995
1.1 91.04303 65.89756999999999
1.133333 -173.4873 349.8523
1.166667 -152.7522 -1.7846000000000117
1.2 -145.6835 48.502330000000015
1.233333 153.6679 -212.63584
1.266667 -156.3472 122.47787
1.3 -119.928 97.63931
1.333333 -1.882907 -4.013755
1.366667 9.7071 22.45287
1.4 -22.94219 148.30909
1.433333 10.75812 153.76728
1.466667 126.2508 47.6095
1.5 160.3399 10.757800000000003
1.533333 149.7625 5.301299999999998
1.566667 42.78884 124.90466
1.6 -169.2304 330.3153
1.633333 170.6176 -29.58370000000002
1.666667 162.9431 -30.21089999999998
1.7 -138.8462 -12.852699999999999
1.733333 -70.3968 239.4789
1.766667 -16.75806 165.57036
1.8 15.19137 97.36343
1.833333 104.6183 -63.505320000000005
1.866667 64.29478 -87.67479
1.9 7.111719 -91.92461899999999
1.933333 -93.63815 39.0714
1.966667 -77.68475 39.71363999999999
2.0 27.73857 127.00033
2.033333 147.2488 30.45870000000002
2.066667 -160.8287 95.25914999999999
2.1 -173.7771 22.458699999999993
2.133333 -179.0914 5.278599999999983
2.166667 170.4837 4.063299999999998
2.2 173.3005 -10.890899999999988
2.233333 171.3206 -3.01430000000002
2.266667 175.3768 -9.188500000000005
2.3 167.1963 -6.359800000000007
2.333333 179.4194 -19.178499999999985
2.366667 169.2503 -1.0675000000000239
2.4 164.8388 5.152600000000007
2.433333 159.2295 0.6614999999999895
2.466667 155.8507 -1.3692999999999813
2.5 151.3195 3.918299999999988
2.533333 153.6676 3.9358000000000004
2.566667 160.2892 -11.427999999999997
2.6 147.359 -10.752900000000011
2.633333 138.7141 -1.5201000000000136
2.666667 122.6425 13.159599999999998
2.7 121.964 -12.012500000000003
2.733333 96.0145 -12.715279999999993
2.766667 104.8227 4.323300000000003
2.8 118.0418 -31.25134
2.833333 86.43448 -15.530829999999995
2.866667 83.713 -40.74641999999999
2.9 52.2933 7.569679999999998
2.933333 19.76832 4.9979900000000015
2.966667 9.247327 17.127063
3.0 74.3053 -50.38609
3.033333 34.29569 -2.6541400000000017
3.066667 15.79066 -13.475919000000001
3.1 23.41451 -39.576840000000004
3.133333 102.2397 -109.592096
3.166667 62.57761 -53.784594
3.2 22.21989 21.744480000000003
3.233333 -11.1108 54.506499999999996
3.266667 -15.72097 56.76682
3.3 33.37846 0.9368100000000013
3.333333 43.86907 -30.19475
3.366667 -19.35967 39.581630000000004
3.4 -27.24041 44.63223
3.433333 -40.58521 60.57016
3.466667 -51.92706 49.377683
3.5 -46.7864 53.120668
3.533333 -52.96847 32.38599000000001
3.566667 -54.49846 20.926500000000004
3.6 -52.68199 17.439549999999997
3.633333 -51.69136 5.14987
3.666667 -72.93791 14.907220000000002
3.7 -32.83293 -34.56038
3.733333 -62.04607 -20.247069999999994
3.766667 -121.5823 44.24089000000001
3.8 -157.1914 85.29042999999999
3.833333 -74.19015 -18.480869999999996
3.866667 -73.28756 -37.69694
3.9 -58.90373 -32.14267
3.933333 -64.11044 -2.3359800000000064
3.966667 -67.89177 -4.374890000000008
4.0 -40.80573 -35.3047
4.033333 -45.46784 -56.00885999999999
4.066667 -49.44911 -46.48713
4.1 -48.78723 -34.742309999999996
4.133333 -34.26535 -62.9169
4.166667 -88.8295 -29.950000000000003
4.2 -92.83572 -17.383880000000005
4.233333 -93.95848 -12.162320000000008
4.266667 -93.44073 -24.816869999999994
4.3 -105.2691 1.4392999999999887
4.333333 -58.4464 -68.7767
4.366667 -52.19571 -100.27369000000002
4.4 -100.5157 -36.656400000000005
4.433333 176.3048 -293.7264
4.466667 165.6743 -303.5117
4.5 -160.8412 -4.597700000000003
4.533333 -111.1505 289.0254
4.566667 -34.79913 204.31242999999998
4.6 -69.24797 -109.12383000000001
4.633333 -54.13712 225.22562000000002
4.666667 -39.32845 206.84505000000001
4.7 -135.6253 298.1139
4.733333 109.5614 42.94079999999998
4.766667 75.93485 39.34615000000001
4.8 -177.996 272.40192
4.833333 -145.963 138.388948
4.866667 -43.09029 -106.11021
4.9 64.10331 102.97429
4.933333 82.73408 87.67241999999999
4.966667 111.4155 38.5647
5.0 -153.8084 292.9732
5.033333 -169.8196 317.70799999999997
5.066667 -163.8884 332.1233
5.1 -140.6228 -19.982
5.133333 -138.2759 93.81621000000001
5.166667 -154.3415 134.79140999999998
5.2 114.0404 11.738399999999999
5.233333 -3.100325 148.337125
5.266667 -70.39737 237.24777
5.3 -92.50862 -78.45218000000001
5.333333 -90.8725 268.1095
5.366667 -117.3857 286.7596
5.4 171.8267 -19.581699999999984
5.433333 140.2756 14.511099999999999
5.466667 146.3614 16.55449999999999
5.5 -65.40039 227.97499
5.533333 -63.20568 224.66348
5.566667 -84.76639 263.51319
5.6 -123.0821 -41.49110000000002
5.633333 -116.3364 -42.96520000000001
5.666667 -119.5759 -33.26379999999999
5.7 -86.86953 -57.21597
5.733333 -106.5672 -30.62339999999999
5.766667 163.235 -291.5549
5.8 -93.3893 -28.732499999999987
5.833333 -56.83711 -52.461189999999995
5.866667 -49.05168 -58.536120000000004
5.9 -59.46177 -36.27342
5.933333 -64.99643 -8.128839999999997
5.966667 -55.13921 -20.92161000000001
6.0 -57.24566 -29.28026
6.033333 -59.47543 -17.63508999999999
6.066667 -59.7192 -14.34214
6.1 -67.12381 -3.2476899999999915
6.133333 -21.95515 -50.39090999999999
6.166667 54.8327 -125.62871
6.2 70.54854 -120.10547
6.233333 81.58333 -96.52722
6.266667 82.89106 -102.87416999999999
6.3 3.694154 -21.048174
6.333333 -34.75693 38.571005
6.366667 -0.6753858 33.1465758
6.4 -42.99177 52.454092
6.433333 -49.24314 29.260029999999997
6.466667 -39.62167 71.62705
6.5 -17.1338 74.66261
6.533333 -28.15384 57.89872
6.566667 -31.77829 26.067697
6.6 20.33825 2.8603400000000008
6.633333 29.42107 15.57893
6.666667 -0.2156179 -3.5984571
6.7 101.8594 -124.47926
6.733333 126.9232 -157.88696
6.766667 1.640901 16.794049
6.8 -3.935558 58.943538000000004
6.833333 5.693232 27.996837999999997
6.866667 2.227049 38.687331
6.9 38.67013 79.63067
6.933333 69.30646 60.72384000000001
6.966667 61.49485 68.31075
7.0 97.62597 18.939130000000006
7.033333 146.3438 30.476400000000012
7.066667 159.666 -8.72059999999999
7.1 170.7442 -27.614100000000008
7.133333 161.3562 -3.157600000000002
7.166667 167.1465 -2.401600000000002
7.2 -179.7499 345.4791
7.233333 -170.2621 347.2129
7.266667 -172.7544 -5.1030999999999835
7.3 -168.3047 3.7143000000000086
7.333333 -159.2971 315.0194
7.366667 -179.2079 338.8508
7.4 158.3671 -333.2966
7.433333 92.95568 -263.06228
7.466667 -8.228401 139.90870099999998
7.5 -23.99385 79.13944
7.533333 60.03118 23.001020000000004
7.566667 88.38062 -21.67403999999999
7.6 135.2021 -176.51167
7.633333 111.1559 -190.51573000000002
7.666667 25.3738 5.663029999999999
7.7 -29.46509 -9.953599999999998
7.733333 -84.64078 -17.030119999999997
7.766667 -91.09199 -63.36511
7.8 -37.73413 -30.520950000000006
7.833333 1.699701 -11.387825
7.866667 -8.248292 0.4505719999999993
7.9 -34.64553 28.062743
7.933333 -120.2656 102.81550000000001
7.966667 -78.95306 70.911147
8.0 -31.63829 48.00074
8.033333 -94.15839 144.32207
8.066667 -173.1726 338.30269999999996
8.1 149.7324 -328.9592
8.133333 24.27346 142.67254
8.166667 -17.9524 136.31550000000001
8.2 -86.2377 112.8004
8.233333 130.3838 -136.79359200000002
8.266667 119.6385 -125.79874299999999
8.3 176.6515 -328.0258
8.333333 -156.9816 -5.844800000000021
8.366667 145.8918 10.572400000000016
8.4 70.97848 67.93311999999999
8.433333 122.5225 12.961100000000002
8.466667 175.2998 -344.4901
8.5 -162.3211 32.880300000000005
8.533333 -18.16232 -7.353249999999999
8.566667 -21.02667 2.952819999999999
8.6 -46.18661 5.316490000000002
8.633333 -27.72041 35.631696
8.666667 32.56515 4.098579999999998
8.7 159.3762 -153.590458
8.733333 -174.2047 79.79589
8.766667 66.36298 -142.17809999999997
8.8 40.30488 -12.815639999999998
8.833333 43.56312 40.46244
8.866667 -155.2285 300.1877
8.9 100.3875 -276.1288
8.933333 96.66525 -274.43875
8.966667 86.48947 67.54923000000001
9.0 -146.8679 157.51603
9.033333 -170.2776 321.38419999999996
9.066667 -168.4143 8.532099999999986
9.1 -174.898 17.58590000000001
9.133333 -168.4378 149.46876
9.166667 -155.0204 172.16334
9.2 -7.601383 170.214183
9.233333 10.2985 -184.0956
9.266667 87.44953 -160.60429
9.3 -178.4718 191.82198
9.333333 -178.1607 355.24429999999995
9.366667 -178.1779 349.5947
9.4 169.3807 5.552999999999997
9.433333 173.2554 1.1831999999999994
9.466667 178.291 -5.447299999999984
9.5 -176.0512 339.3751
9.533333 169.5246 -18.23599999999999
9.566667 158.9836 -1.0079000000000065
9.6 155.7701 11.408799999999985
9.633333 158.5463 5.707999999999998
9.666667 141.8131 -6.526499999999999
9.7 145.5607 -16.32159999999999
9.733333 164.5796 -10.5103
9.766667 176.6217 -15.711900000000014
9.8 158.0844 -7.2853999999999814
9.833333 153.5805 -16.668000000000006
9.866667 148.5124 -11.433000000000021
9.9 142.3498 -7.474899999999991
9.933333 141.8462 -15.246100000000013
9.966667 140.2713 -13.268299999999996
10.0 89.67051 35.300790000000006
10.03333 91.339 24.082899999999995
10.06667 96.39788 -6.367159999999998
10.1 89.69851 -7.748170000000002
10.13333 82.7432 -6.218419999999995
10.16667 68.22971 2.756389999999996
10.2 25.30526 35.07535
10.23333 33.34547 17.70543
10.26667 48.18803 -7.841049999999996
10.3 52.0738 -51.921178
10.33333 33.77668 -37.105092
10.36667 3.18293 -0.197832
10.4 -17.65648 -1.5856400000000015
10.43333 -23.17916 -9.355450000000001
10.46667 3.54654 -26.13566
10.5 -27.11946 38.13798
10.53333 -45.55321 55.205194
10.56667 -41.49895 42.271894
10.6 -24.46514 13.545430000000001
10.63333 -30.12584 30.113703740000002
10.66667 -27.10828 28.267222
10.7 -69.46402 64.369321
10.73333 -56.51492 35.41542
10.76667 -57.51457 43.08642
10.8 -37.44052 38.70646
10.83333 0.059725 6.126233
10.86667 15.49961 -38.57249
10.9 -8.381253 -41.316867
10.93333 8.985907 -63.514086999999996
10.96667 46.59343 -102.02794
11.0 55.79031 -97.08986999999999
11.03333 53.31974 -115.53782000000001
11.06667 40.62816 -113.41592
11.1 23.63257 -111.23306
11.13333 -4.215689 -86.65570100000001
11.16667 -35.69925 -81.56354999999999
11.2 -57.9178 -55.793499999999995
11.23333 -68.00037 -35.36573
11.26667 -91.25046 0.48275000000001
11.3 -80.97692 -32.298779999999994
11.33333 -80.37428 -29.82222
11.36667 -77.56809 -31.10821
11.4 -82.36552 -12.645799999999994
11.43333 -76.86299 -53.113609999999994
11.46667 -64.78406 -73.35394000000001
11.5 109.5947 -266.6733
11.53333 98.84838 -256.41668
11.56667 -45.93877 -112.05643
11.6 -69.37622 -92.30618
