t r.txtA r.txtB
0.0 -86.05868 -12.501010000000008
0.03333333 -86.19662 -12.50075000000001
0.06666667 -86.19487 -12.559170000000009
0.1 -86.24517 -12.504199999999997
0.1333333 -86.3239 -12.384550000000004
0.1666667 -86.34541 -12.287040000000005
0.2 -86.36086 -12.162539999999993
0.2333333 -86.3315 -12.035779999999988
0.2666667 -86.30587 -11.873819999999995
0.3 -86.23196 -11.791560000000004
0.3333333 -86.16909 -11.690300000000008
0.3666667 -86.06423 -11.635940000000005
0.4 -85.98266 -11.608190000000008
0.4333333 -85.95145 -11.503930000000011
0.4666667 -85.9213 -11.464730000000003
0.5 -85.87169 -11.466160000000002
0.5333333 -85.84073 -11.45777000000001
0.5666667 -85.8344 -11.469470000000001
0.6 -85.83038 -11.490499999999997
0.6333333 -85.88453 -11.457070000000002
0.6666667 -85.93801 -11.427189999999996
0.7 -86.01682 -11.398710000000008
0.7333333 -86.06865 -11.365079999999992
0.7666667 -86.10165 -11.342389999999995
0.8 -86.12963 -11.32311
0.8333333 -86.12855 -11.317340000000002
0.8666667 -86.12847 -11.312140000000014
0.9 -86.14325 -11.28701000000001
0.9333333 -86.15681 -11.265060000000005
0.9666667 -86.13728 -11.257710000000003
1.0 -86.13366 -11.234199999999987
1.033333 -86.09753 -11.260569999999987
1.066667 -86.09371 -11.226289999999992
1.1 -86.09129 -11.205079999999995
1.133333 -86.08682 -11.19717
1.166667 -86.08286 -11.191550000000007
1.2 -86.11737 -11.1601
1.233333 -86.14853 -11.131150000000005
1.266667 -86.19266 -11.077829999999992
1.3 -86.23474 -11.004310000000004
1.333333 -86.35536 -10.784779999999998
1.366667 -86.3753 -10.630300000000005
1.4 -86.32064 -10.538610000000006
1.433333 -86.27138 -10.46887000000001
1.466667 -86.22684 -10.389020000000002
1.5 -86.12463 -10.392350000000008
1.533333 -86.10849 -10.302080000000004
1.566667 -86.08812 -10.233959999999996
1.6 -86.05269 -10.218950000000007
1.633333 -86.02668 -10.20487
1.666667 -86.04151 -10.165729999999996
1.7 -86.05212 -10.137649999999994
1.733333 -86.09381 -10.08386999999999
1.766667 -86.12872 -10.038420000000002
1.8 -86.13515 -10.040840000000003
1.833333 -86.1412 -10.041290000000004
1.866667 -86.15059 -10.032900000000012
1.9 -86.16001 -10.024199999999993
1.933333 -86.15625 -10.026570000000007
1.966667 -86.15399 -10.02779000000001
2.0 -86.16666 -10.001950000000008
2.033333 -86.15238 -10.013380000000012
2.066667 -86.14326 -10.019729999999996
2.1 -86.17259 -10.000519999999995
2.133333 -86.20239 -9.95751
2.166667 -86.27947 -9.950769999999991
2.2 -86.39523 -9.932780000000008
2.233333 -86.5865 -9.905029999999996
2.266667 -86.86152 -9.869349999999997
2.3 -87.18896 -9.878340000000009
2.333333 -87.56171 -9.883960000000002
2.366667 -88.0585 -9.880960000000002
2.4 -88.58423 -9.94108
2.433333 -89.26853 -10.002669999999995
2.466667 -90.18224 -9.945960000000014
2.5 -91.19172 -9.97708
2.533333 -92.30195 -10.054850000000002
2.566667 -93.58795 -10.186949999999996
2.6 -95.07582 -10.378580000000014
2.633333 -96.72379 -10.52431
2.666667 -98.37042 -10.838880000000003
2.7 -100.2515 -11.301300000000012
2.733333 -102.0818 -11.7513
2.766667 -104.1016 -12.127200000000002
2.8 -106.1114 -12.593999999999994
2.833333 -108.2376 -13.261600000000001
2.866667 -110.5128 -13.511899999999997
2.9 -112.6421 -14.193100000000001
2.933333 -115.0479 -14.438800000000015
2.966667 -117.2099 -15.02340000000001
3.0 -119.3176 -15.578300000000013
3.033333 -121.5497 -15.943000000000012
3.066667 -123.8379 -16.354499999999987
3.1 -125.8695 -16.947999999999993
3.133333 -128.0573 -17.22720000000001
3.166667 -130.2449 -17.416300000000007
3.2 -132.6302 -17.517799999999994
3.233333 -134.9476 -17.559699999999992
3.266667 -137.1739 -17.936199999999985
3.3 -139.2658 -18.40289999999999
3.333333 -141.4073 -18.850400000000008
3.366667 -143.692 -19.33189999999999
3.4 -145.8559 -19.670900000000017
3.433333 -147.8828 -20.500399999999985
3.466667 -149.8806 -21.242700000000013
3.5 -151.5142 -22.403700000000015
3.533333 -153.187 -23.5813
3.566667 -154.7063 -24.974700000000013
3.6 -155.8956 333.5668
3.633333 -157.0508 331.9621
3.666667 -158.0837 330.2786
3.7 -159.1007 328.8613
3.733333 -160.1286 327.3887
3.766667 -161.12 326.0887
3.8 -162.1016 324.9389
3.833333 -163.1191 323.7517
3.866667 -164.1305 322.7927
3.9 -165.0376 321.7703
3.933333 -166.0358 320.8956
3.966667 -166.815 319.8454
4.0 -167.4716 318.71000000000004
4.033333 -168.2212 317.7482
4.066667 -168.8381 316.5892
4.1 -169.4054 315.4423
4.133333 -169.9656 314.2833
4.166667 -170.4316 313.052
4.2 -170.9592 312.0548
4.233333 -171.3499 310.9461
4.266667 -171.5766 309.7728
4.3 -171.7803 308.63300000000004
4.333333 -171.9181 307.4565
4.366667 -171.9737 306.1394
4.4 -172.0946 305.074
4.433333 -172.0289 303.8562
4.466667 -171.9848 302.7096
