t v.txtA v.txtB
0.0 0.0 0.0
0.03333333 -145.7556 319.33669999999995
0.06666667 -111.4373 -59.892799999999994
0.1 -149.9987 101.07948000000002
0.1333333 -130.2499 91.29363
0.1666667 -104.5607 74.10679999999999
0.2 -70.37263 43.81062
0.2333333 -2.753745 -17.639885000000003
0.2666667 2.813069 -22.262259
0.3 -4.315836 -16.343064
0.3333333 -3.10505 -14.32081
0.3666667 5.062774 -22.890604
0.4 6.474601 -30.525551
0.4333333 -13.62118 -1.2312699999999985
0.4666667 -17.69936 10.255197999999998
0.5 -9.510296 -28.000324000000003
0.5333333 -13.67158 -47.81195
0.5666667 -29.00687 -111.78073
0.6 -158.9608 7.625100000000003
0.6333333 -174.1199 18.564899999999994
0.6666667 -177.6509 349.709
0.7 -171.52 340.2065
0.7333333 -174.4616 -1.3748999999999967
0.7666667 179.2224 -343.6026
0.8 151.8372 -306.2498
0.8333333 91.33095 -80.0699
0.8666667 122.5728 -131.289004
0.9 138.6157 -158.13302000000002
0.9333333 84.77701 -83.537751
0.9666667 70.88137 -64.030011
1.0 1.616723 -25.291633
1.033333 -36.5946 12.620650000000001
1.066667 -25.49661 22.4289
1.1 66.62138 -55.684020000000004
1.133333 77.00642 -44.031870000000005
1.166667 164.4119 -117.50885
1.2 -173.0154 330.87649999999996
1.233333 -164.0898 101.66695999999999
1.266667 -174.755 113.8655
1.3 -164.2518 124.45517000000001
1.333333 -154.948 125.56464000000001
1.366667 -36.50242 11.736460000000001
1.4 -17.38646 -2.8444600000000015
1.433333 -28.35329 6.961870000000001
1.466667 -13.46324 -8.002239999999999
1.5 -12.58951 -10.27579
1.533333 -34.2676 9.85162
1.566667 27.23192 -48.93452
1.6 0.6144216 -33.5574116
1.633333 -22.92978 -12.30545
1.666667 129.1795 -137.48071099999999
1.7 166.4333 -189.70363
1.733333 -177.7453 136.42575
1.766667 -161.3405 78.36578999999999
1.8 -114.8424 281.3161
1.833333 -156.4366 273.173
1.866667 155.5486 -66.47291999999999
1.9 120.6931 -41.85923
1.933333 67.69785 -92.51310000000001
1.966667 -113.8613 78.71522
2.0 -82.2737 47.17403
2.033333 10.39189 -50.64734
2.066667 -150.4069 19.961299999999994
2.1 -156.9255 73.62354
2.133333 -169.3185 25.35650000000001
2.166667 -172.7151 7.022600000000011
2.2 178.7589 -356.4848
2.233333 177.1807 0.24719999999999231
2.266667 176.7611 -2.739599999999996
2.3 175.3735 -2.470799999999997
2.333333 174.4852 -5.018499999999989
2.366667 175.5918 -7.461500000000001
2.4 174.165 -4.870199999999983
2.433333 170.8726 -1.9724999999999966
2.466667 169.0974 -2.6776999999999873
2.5 166.7579 -2.1358999999999924
2.533333 165.4711 -1.9765000000000157
2.566667 163.9052 -1.336100000000016
2.6 163.9233 -3.677800000000019
2.633333 162.2819 -5.007200000000012
2.666667 160.0145 -4.332599999999985
2.7 158.991 -5.22290000000001
2.733333 155.8792 -5.413700000000006
2.766667 153.0429 -5.020700000000005
2.8 151.2126 -5.842000000000013
2.833333 150.6494 -8.165100000000024
2.866667 147.8543 -8.252899999999983
2.9 145.4092 -8.13470000000001
2.933333 143.1048 -8.342300000000023
2.966667 139.7871 -7.712700000000012
3.0 139.2026 -10.26139999999998
3.033333 136.8408 -10.644400000000005
3.066667 132.7558 -8.189799999999991
3.1 130.5348 -8.721799999999988
3.133333 128.9954 -9.761999999999986
3.166667 128.0408 -9.934699999999992
3.2 125.0859 -9.192499999999995
3.233333 122.5061 -9.9906
3.266667 120.5815 -10.5659
3.3 116.9387 -10.1738
3.333333 115.86 -11.826300000000003
3.366667 114.6923 -13.590800000000002
3.4 112.1742 -15.413650000000004
3.433333 108.9801 -15.740219999999994
3.466667 106.7876 -17.598420000000004
3.5 104.8787 -20.210489999999993
3.533333 102.0757 -21.87814999999999
3.566667 98.91454 -23.496499999999997
3.6 94.77631 -23.97327999999999
3.633333 90.41374 -22.99266
3.666667 89.97181 -27.50061
3.7 89.37927 -31.592260000000003
3.733333 86.83124 -32.06426999999999
3.766667 87.45191 -36.25719
3.8 89.04924 -41.833389999999994
3.833333 89.02845 -46.05199
3.866667 88.2468 -47.26302999999999
3.9 87.51847 -47.93330999999999
3.933333 84.64242 -49.12185
3.966667 78.54015 -48.01575
4.0 77.82738 -51.59434
4.033333 73.40166 -49.93124
4.066667 67.13245 -45.03622000000001
4.1 63.95105 -44.47249
4.133333 57.42519 -42.51587
4.166667 55.45365 -43.735380000000006
4.2 54.11785 -45.711174
4.233333 43.93273 -40.693671
4.266667 35.97004 -36.04944175
4.3 31.37187 -34.235104
4.333333 22.53507 -28.541001
4.366667 19.98432 -27.763631
4.4 11.37694 -22.25612
4.433333 -0.3268683 -14.398721700000001
4.466667 18.64778 -36.17053
4.5 22.99212 -42.75976
4.533333 1.075721 -22.165611000000002
4.566667 6.348989 -28.258329
4.6 -10.27284 -13.189670000000001
4.633333 -19.26398 -6.675540000000002
4.666667 -17.95071 -9.259989999999998
4.7 -25.5038 -4.46968
4.733333 -31.52221 -2.5444499999999977
4.766667 -16.37278 -14.25074
4.8 -6.606707 -17.992153
4.833333 -18.81925 -5.405139999999999
4.866667 -29.81274 5.3062000000000005
4.9 -22.67096 -3.3670599999999986
4.933333 -8.246995 -21.014454999999998
4.966667 6.547706 -41.395416
5.0 0.9405139 -33.842723899999996
5.033333 -9.743933 -8.002977
5.066667 -32.9572 -138.1942
5.1 -123.1888 298.3867
5.133333 -125.5541 -36.044399999999996
5.166667 -126.4138 -10.459099999999992
5.2 -137.3319 -7.539000000000016
5.233333 -140.4003 -38.44290000000001
5.266667 -130.2558 298.4783
5.3 -120.4589 293.7738
5.333333 -113.2438 291.5076
5.366667 -106.6972 283.0478
5.4 -113.1117 286.6446
5.433333 -123.7989 291.5064
5.466667 -135.0335 298.96209999999996
5.5 -139.2766 305.46860000000004
5.533333 -125.4642 289.45550000000003
5.566667 -118.6709 282.3349
5.6 -119.2591 287.311
5.633333 -119.0294 290.3144
5.666667 -119.1583 292.68629999999996
5.7 -118.801 295.4843
5.733333 -116.4761 -63.3878
5.766667 -116.7945 -59.7287
5.8 -118.5477 -54.2632
5.833333 -113.9802 -55.15450000000001
5.866667 -107.8956 -56.770399999999995
5.9 -101.7001 -58.4242
5.933333 -99.71478 -56.249219999999994
5.966667 -94.01246 -56.59093999999999
6.0 -88.31526 -56.92684
6.033333 -86.55871 -53.72718999999999
6.066667 -82.47111 -50.81079000000001
6.1 -80.20503 -48.240970000000004
6.133333 -80.46925 -44.74185
6.166667 -77.49749 -41.441010000000006
6.2 -75.16922 -41.04168
6.233333 -73.95874 -38.10915999999999
6.266667 -70.25321 -38.63289
6.3 -70.20869 -34.172709999999995
6.333333 -69.40522 -24.779700000000005
6.366667 -67.43754 -24.031260000000003
6.4 -65.13255 -21.68762000000001
6.433333 -63.61126 -15.951260000000005
6.466667 -61.87023 -16.53759
6.5 -57.70543 -14.847379999999994
6.533333 -53.91581 -13.974740000000004
6.566667 -52.69185 -14.319429999999997
6.6 -50.51573 -9.55276
6.633333 -45.41144 -13.084290000000003
6.666667 -41.74477 -16.75096
6.7 -41.21681 -7.597259999999999
6.733333 -39.9706 -6.665980000000005
6.766667 -39.33701 -8.933480000000003
6.8 -38.63596 -5.533720000000002
6.833333 -35.77602 -4.324889999999996
6.866667 -33.59361 -1.6788099999999986
6.9 -30.77343 2.7642500000000005
6.933333 -25.87934 -2.4214200000000012
6.966667 -19.62188 -1.5393799999999978
7.0 -14.88348 1.2564900000000012
7.033333 -9.795576 -8.023314
7.066667 -5.102702 -10.152418
7.1 -3.905365 -8.623445
7.133333 -2.780654 -3.929183
7.166667 1.791167 -6.985596
7.2 4.90423 -4.90423
7.233333 0.8231606 3.1835054
7.266667 -1.829736 23.667186
7.3 -38.42255 -131.05134999999999
7.333333 -92.2272 268.7286
7.366667 -109.4003 269.4866
7.4 -135.6074 296.9145
7.433333 -150.4208 325.3819
7.466667 -159.2243 331.9515
7.5 -141.091 311.27909999999997
7.533333 -133.4661 302.5906
7.566667 161.8749 -6.182299999999998
7.6 135.66 21.279899999999998
7.633333 160.6112 5.488500000000016
7.666667 128.1171 28.147899999999993
7.7 104.5804 54.363500000000016
7.733333 110.3781 53.76119999999999
7.766667 141.9523 26.562299999999993
7.8 -150.6388 325.6023
7.833333 -35.23968 -144.12362000000002
7.866667 -13.81154 -159.94376
7.9 -17.07691 -70.08572
7.933333 -18.90452 -18.68704
7.966667 -51.58303 21.29457
8.0 -46.79319 19.804540000000003
8.033333 -33.08775 23.588745
8.066667 -59.18392 55.525851
8.1 -114.6777 101.66864
8.133333 -91.62556 -71.20634
8.166667 -43.30486 219.20525999999998
8.2 -57.17433 202.98083
8.233333 -59.44134 204.97154
8.266667 -46.39915 70.67036
8.3 -102.1073 113.91814
8.333333 -143.93 -0.9665999999999997
8.366667 -148.6121 -9.772199999999998
8.4 -168.7858 330.9833
8.433333 164.0212 -6.496700000000004
8.466667 154.8907 -1.7988
8.5 166.6235 -1.0734999999999957
8.533333 173.3111 0.18149999999999977
8.566667 161.4963 13.6678
8.6 -160.031 72.62204000000001
8.633333 -96.77259 10.277629999999988
8.666667 -74.36735 55.64895
8.7 -54.38596 51.1173
8.733333 -91.61515 81.02989
8.766667 -118.6354 106.43238000000001
8.8 -69.73736 38.493129999999994
8.833333 4.335496 -13.852623000000001
8.866667 -0.9169323 16.2757823
8.9 -9.7142 33.41016
8.933333 39.27924 119.79786
8.966667 59.07916 109.26434
9.0 53.94891 100.01919
9.033333 63.6055 83.3648
9.066667 151.101 4.627100000000013
9.1 171.7689 7.995599999999996
9.133333 168.3452 -341.84069999999997
9.166667 178.6286 -350.8027
9.2 -175.3929 331.0555
9.233333 179.8518 -8.532600000000002
9.266667 169.866 -347.5135
9.3 168.1846 -336.6217
9.333333 176.2699 -3.351699999999994
9.366667 178.9383 -1.398699999999991
9.4 178.0379 -0.36880000000002156
9.433333 176.257 -3.3089999999999975
9.466667 175.696 0.9450999999999965
9.5 177.4865 -4.056900000000013
9.533333 178.736 -9.304699999999997
9.566667 176.1735 -11.770199999999988
9.6 173.0232 -8.68180000000001
9.633333 170.3859 -4.083200000000005
9.666667 168.7515 -4.6387
9.7 167.2597 -5.526700000000005
9.733333 165.711 -5.594500000000011
9.766667 167.256 -6.89070000000001
9.8 167.4876 -6.843599999999981
9.833333 165.5449 -6.389700000000005
9.866667 164.6771 -6.9529
9.9 163.5444 -8.013599999999997
9.933333 160.4975 -7.705100000000016
9.966667 158.8877 -7.965499999999992
10.0 157.6695 -9.139399999999995
10.03333 154.6716 -8.193100000000015
10.06667 154.1086 -10.463499999999982
10.1 151.8625 -11.632100000000008
10.13333 147.6829 -10.878799999999984
10.16667 146.4328 -12.826799999999992
10.2 143.4244 -12.162099999999981
10.23333 141.6982 -13.5137
10.26667 139.2182 -15.534999999999997
10.3 135.4983 -15.2012
10.33333 134.1996 -16.240499999999997
10.36667 131.5906 -17.122699999999995
10.4 130.1302 -17.9238
10.43333 128.4367 -18.931300000000007
10.46667 126.3881 -20.367999999999995
10.5 125.8142 -22.069699999999997
10.53333 125.3506 -23.976299999999995
10.56667 125.6178 -26.775090000000006
10.6 124.2616 -28.497290000000007
10.63333 121.5007 -29.034419999999997
10.66667 120.6473 -32.012370000000004
10.7 119.5871 -34.78809000000001
10.73333 119.9686 -39.19785999999999
10.76667 120.6178 -44.174220000000005
10.8 118.854 -46.572959999999995
10.83333 118.6341 -50.07964
10.86667 115.606 -50.83220999999999
10.9 114.2919 -53.55593
10.93333 112.7431 -57.31879
10.96667 109.5751 -57.884150000000005
11.0 107.3978 -58.195620000000005
11.03333 104.0129 -58.8699
11.06667 102.4047 -59.99604000000001
